PAVE BEAUTY SPA — PRODUCT PHOTO FILENAMES (753 products, complete catalog)
Save each product's photo with the exact filename below,
inside the website's  assets/products/  folder.
l-oreal-triple-active-comforting-moisturiser-night.jpg   →   L'Oreal Triple Active Comforting Moisturiser Night
l-oreal-triple-active-multi-protection-moisturiser-day-dry-and-s.jpg   →   L'Oreal Triple Active Multi Protection Moisturiser Day (Dry and Sensitive)
l-oreal-paris-triple-active-multi-protection-moisturiser-normal.jpg   →   L'Oreal Paris Triple Active Multi Protection Moisturiser (Normal to Combination)
mary-and-may-spicule-collagen-pdrn-cream.jpg   →   Mary and May Spicule Collagen PDRN Cream
kab-i-glow-ultra-cream-kojic-acid-dipalmitate-arbutin-mulberry-e.jpg   →   Kab-I-Glow Ultra Cream (Kojic Acid Dipalmitate, Arbutin, Mulberry Extract, Octinoxate, Glycolic Acid & Vitamin E)
aplb-bakuchiol-propolis-facial-cream-55ml.jpg   →   APLB Bakuchiol Propolis Facial Cream 55ml
revuele-hydro-skin-quenching-water-cream.jpg   →   Revuele Hydro Skin Quenching Water Cream
palmer-s-even-tone-fade-cream-75g.jpg   →   Palmer's Even Tone Fade Cream 75g
sadoer-collagen-face-cream.jpg   →   Sadoer Collagen Face Cream
palmer-s-skin-success-anti-dark-spot-fade-cream.jpg   →   Palmer's Skin Success Anti Dark Spot Fade Cream
skinscience-hydrating-moisturising-cream.jpg   →   Skinscience Hydrating Moisturising Cream
medicube-age-r-glutathione-glow-capsule-cream.jpg   →   Medicube AGE-R Glutathione Glow Capsule Cream
aplb-glutathione-niacinamide-facial-cream.jpg   →   APLB Glutathione Niacinamide Facial Cream
purito-wonder-releaf-centella-cream-unscented-50ml.jpg   →   Purito Wonder Releaf Centella Cream Unscented 50ml
goodal-green-tangerine-vita-c-dark-spot-care-cream-50ml.jpg   →   Goodal Green Tangerine Vita C Dark Spot Care Cream 50ml
skeenpoint-fade-out-lightening-face-cream.jpg   →   Skeenpoint Fade Out Lightening Face Cream
